
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","359.10","2.40","0.40","0.00","0.00","0.00","239.90","0.00","0.00","0.80","140.049","49.98","26.50","Nov.19 14:24,2018","1.20","2994.00"
"'110B987CD123056","362.90","2.40","0.40","0.00","0.00","0.00","240.60","0.00","0.00","0.90","141.531","50.00","26.40","Nov.19 14:29,2018","1.20","2994.00"
"'110B987CD123056","367.10","2.50","0.50","0.00","0.00","0.00","240.90","0.00","0.00","0.80","178.96125","49.98","26.40","Nov.19 14:34,2018","1.20","2994.00"
"'110B987CD123056","360.90","2.50","0.50","0.00","0.00","0.00","242.20","0.00","0.00","0.90","175.93875","49.98","26.60","Nov.19 14:44,2018","1.20","2994.00"
"'110B987CD123056","361.30","2.40","0.40","0.00","0.00","0.00","241.60","0.00","0.00","0.80","140.907","50.00","26.60","Nov.19 14:49,2018","1.20","2994.00"
"'110B987CD123056","363.10","2.50","0.50","0.00","0.00","0.00","244.20","0.00","0.00","0.80","177.01125000000002","49.97","26.60","Nov.19 14:54,2018","1.20","2994.00"
"'110B987CD123056","358.90","2.40","0.30","0.00","0.00","0.00","241.60","0.00","0.00","0.70","104.97824999999999","49.98","26.60","Nov.19 14:59,2018","1.30","2994.00"
"'110B987CD123056","350.80","2.40","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.70","34.203","50.01","26.50","Nov.19 15:04,2018","1.30","2994.00"
"'110B987CD123056","209.00","2.40","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.70","20.3775","49.97","26.40","Nov.19 15:09,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","240.90","0.00","0.00","0.80","7.3125","50.00","26.10","Nov.19 15:14,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","240.90","0.00","0.00","0.80","7.3125","49.98","25.90","Nov.19 15:19,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","242.90","0.00","0.00","0.80","7.3125","49.99","25.80","Nov.19 15:24,2018","1.30","2994.00"
"'110B987CD123056","160.90","2.40","0.20","0.00","0.00","0.00","240.90","0.00","0.00","0.70","31.3755","50.00","25.70","Nov.19 15:29,2018","1.30","2994.00"
"'110B987CD123056","357.00","2.30","0.10","0.00","0.00","0.00","241.60","0.00","0.00","0.70","34.807500000000005","49.97","25.80","Nov.19 15:34,2018","1.30","2994.00"
"'110B987CD123056","231.10","2.40","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.70","22.532249999999998","49.98","25.80","Nov.19 15:39,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.80","7.3125","49.99","25.60","Nov.19 15:44,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","239.90","0.00","0.00","0.80","7.3125","49.97","25.60","Nov.19 15:49,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","242.90","0.00","0.00","0.70","7.3125","49.99","25.50","Nov.19 15:54,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.00","0.00","0.00","0.00","241.90","0.00","0.00","0.70","0.0","50.03","25.40","Nov.19 15:59,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","239.90","0.00","0.00","0.80","7.3125","50.04","25.40","Nov.19 16:05,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","237.90","0.00","0.00","0.80","7.3125","49.98","25.30","Nov.19 16:15,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.20","0.10","0.00","0.00","0.00","236.90","0.00","0.00","0.80","7.3125","50.00","25.40","Nov.19 16:20,2018","1.30","2994.00"
"'110B987CD123056","75.00","2.10","0.00","0.00","0.00","0.00","241.20","0.00","0.00","0.70","0.0","49.99","25.30","Nov.19 16:25,2018","1.30","2994.00"
"'110B987CD123056","311.60","2.10","0.00","0.00","0.00","0.00","239.30","0.00","0.00","0.80","0.0","50.00","25.40","Nov.19 16:30,2018","1.30","2994.00"
"'110B987CD123056","311.50","2.10","0.00","0.00","0.00","0.00","238.60","0.00","0.00","0.80","0.0","50.00","25.60","Nov.19 16:35,2018","1.30","2994.00"
"'110B987CD123056","311.50","2.10","0.00","0.00","0.00","0.00","238.90","0.00","0.00","0.80","0.0","49.99","25.60","Nov.19 16:40,2018","1.30","2994.00"
"'110B987CD123056","311.50","2.20","0.00","0.00","0.00","0.00","240.90","0.00","0.00","0.70","0.0","49.98","25.60","Nov.19 16:45,2018","1.30","2994.00"
"'110B987CD123056","311.90","2.20","0.00","0.00","0.00","0.00","239.30","0.00","0.00","0.80","0.0","49.98","25.70","Nov.19 16:50,2018","1.30","2994.00"
"'110B987CD123056","312.00","2.10","0.00","0.00","0.00","0.00","240.20","0.00","0.00","0.80","0.0","49.99","25.60","Nov.19 16:55,2018","1.30","2994.00"
"'110B987CD123056","311.20","2.10","0.00","0.00","0.00","0.00","236.90","0.00","0.00","0.80","0.0","49.99","25.60","Nov.19 17:00,2018","1.30","2994.00"
"'110B987CD123056","311.40","2.00","0.00","0.00","0.00","0.00","236.30","0.00","0.00","0.70","0.0","50.02","25.60","Nov.19 17:05,2018","1.30","2994.00"
"'110B987CD123056","282.50","2.10","0.00","0.00","0.00","0.00","235.30","0.00","0.00","0.80","0.0","50.01","25.50","Nov.19 17:10,2018","1.30","2994.00"
"'110B987CD123056","237.70","2.00","0.00","0.00","0.00","0.00","231.30","0.00","0.00","0.80","0.0","49.99","25.50","Nov.19 17:15,2018","1.30","2994.00"
"'110B987CD123056","165.70","2.00","0.00","0.00","0.00","0.00","232.00","0.00","0.00","0.80","0.0","50.00","25.40","Nov.19 17:20,2018","1.30","2994.00"
"'110B987CD123056","74.60","1.90","0.00","0.00","0.00","0.00","237.60","0.00","0.00","0.80","0.0","49.99","25.40","Nov.19 17:25,2018","1.30","2994.00"
"'110B987CD123056","310.30","1.60","0.10","0.00","0.00","0.00","239.90","0.00","0.00","0.00","0.00","49.99","18.30","Nov.20 08:32,2018","0.0","2994.00"
"'110B987CD123056","326.40","1.70","0.10","0.00","0.00","0.00","237.90","0.00","0.00","0.00","0.00","49.97","18.40","Nov.20 08:34,2018","0.0","2994.00"
"'110B987CD123056","337.50","1.70","0.10","0.00","0.00","0.00","238.60","0.00","0.00","0.00","0.00","49.97","18.60","Nov.20 08:35,2018","0.0","2994.00"
"'110B987CD123056","347.90","1.60","0.10","0.00","0.00","0.00","238.90","0.00","0.00","0.00","0.00","49.97","18.60","Nov.20 08:37,2018","0.0","2994.00"
"'110B987CD123056","355.70","1.70","0.10","0.00","0.00","0.00","237.90","0.00","0.00","0.00","0.00","49.96","18.70","Nov.20 08:39,2018","0.0","2994.00"
"'110B987CD123056","361.60","1.80","0.10","0.00","0.00","0.00","238.60","0.00","0.00","0.00","0.00","49.96","18.70","Nov.20 08:41,2018","0.0","2994.00"
"'110B987CD123056","362.80","1.70","0.10","0.00","0.00","0.00","238.30","0.00","0.00","0.00","0.00","49.98","18.90","Nov.20 08:42,2018","0.0","2994.00"
"'110B987CD123056","364.10","1.70","0.10","0.00","0.00","0.00","237.90","0.00","0.00","0.00","0.00","49.98","19.10","Nov.20 08:44,2018","0.0","2994.00"
